id,name_CHN,start date,end date,subject type,alma mater
1152087,陸彩榮,2006,2008,,中央黨校在職研究生班國際政治專業，獲研究生學歷
1144508,陸延昌,,1964 / 8,自然科學,清華大學動力
1160418,陸平,,1992 / 7,自然科學,雲南中醫學院
1142597,陸定一,,,未知,上海南洋大學(交通大學前身)學習
1139565,陸宇澄,,1962,自然科學,北京大學化學系
1144364,陸啟洲,,,,南京工學院動力工程系發電廠及電力系統專業
1138368,陸兵,1964 / 9,1968 / 12,人文科學,廣西師範學院歷史系歷史專業
1138368,陸兵,1978 / 8,1978 / 11,未知,廣西南寧地委黨校
1138368,陸兵,1981 / 3,1981 / 6,未知,廣西壯族自治區黨委黨校
1138368,陸兵,1987 / 9,1988 / 1,未知,中央黨校幹部培訓班
1138368,陸兵,1994,,,中央黨校民族理論研討班
1138368,陸兵,1995 / 3,1995 / 7,未知,中央黨校進修一班
1138368,陸兵,1997,,,國家行政學院
1138368,陸兵,2000 / 9,2000 / 12,未知,中央黨校省級幹部進修班
1159946,陸俊華,1979 / 9,1983 / 8,,江西財經大學計畫統計系國民經濟計劃專業學習
1159946,陸俊華,1999 / 8,2001 / 12,,中央黨校函授學院法律專業學習
1159946,陸俊華,2003 / 9,2006 / 6,,江西財經大學產業經濟學專業在職研究生學習，獲經濟學博士學位
1159946,陸俊華,2010 / 9,2011 / 1,,中央黨校中青年幹部培訓班學習
1138671,陸佑楣,,1956,自然科學,河海大學河川結構與水力發電專業學習
1142499,陶魯笳,,,未知,江蘇溧陽私立同濟中學，江蘇省立常州中學、上海復旦實驗中學學習；後入南京中央大學旁聽
1138567,陶駟駒,1949 / 8,1951 / 12,未知,在江蘇省靖江縣青年幹部訓練班、上海紡織工學院高職科、中共中央公安幹部學校學習
1138567,陶駟駒,1956 / 9,1959 / 7,人文科學,北京外交學院英語專業學習
1142630,陶鑄,1926,,軍事科學,黃埔陸軍軍官學校第五期學習
1158932,陶軍鋒,1991 / 9,1994 / 7,,西安郵電學院經濟管理系郵電管理工程專業學習
1158932,陶軍鋒,1996 / 9,1999 / 7,,西北大學經濟管理學院經濟系碩士研究生班經濟學專業學習
1158932,陶軍鋒,2000 / 9,2003 / 7,,中國社科院研究生院經濟系博士研究生班西方經濟學專業學習
1139068,陶武先,1965,1969,自然科學,四川德陽東方電機廠中等技術學校金屬切削專業學習
1139068,陶武先,1980 / 7,1980 / 11,未知,中央團校研究班學習
1139068,陶武先,1984,1986,社會科學與法律,四川省委黨校政治專業學習
1139068,陶武先,1998,2001,社會科學與法律,中央黨校研究生班政治學專業學習
1154456,陶正明,,,經濟與管理,先後於南京陸軍指揮學院合同戰術指揮專業、中央黨校經濟管理專業畢業
1154456,陶正明,1993 / 9,1995 / 7,軍事科學,在南京陸軍指揮學院合同戰術指揮專業學習
1154456,陶正明,1995 / 9,1997 / 7,經濟與管理,在中央黨校經濟管理專業學習
1141032,陶昌廉,,,軍事科學,解放軍政治學院學習
1141854,陶方桂,1963 / 8,1964 / 8,未知,湖南漢壽一中學習
1141854,陶方桂,1964 / 8,1969 / 1,軍事科學,解放軍第四軍醫大學
1141854,陶方桂,1985 / 3,1986 / 1,軍事科學,解放軍政治學院學習
1172582,陶德平,1972 / 1,1974 / 7,,昌邑一中高十五級學生
1141228,陶建幸,1973 / 9,1977 / 2,自然科學,南京大學數學系計算數學專業學習
1144103,陶宏,,,自然科學,華中農學院土壤農化系
1143991,陶夏新,1972,1975,自然科學,長春地質學院水文地質和工程地質專業學習
1143991,陶夏新,1978,1981,自然科學,中國科學院工程力學研究所碩士研究生
