id,name_CHN,name_PINYIN,sex,ethnicity,edu,studying_abroad,studying_abroad_country,birthdate,deathdate,ancestral hometown,professional title,date of starting to work,birthplace,party,date of joining the party,CYL,special relationships,notes
1159680,張繼軍,Zhang Jijun,男,漢族,研究生,,,1974/6,,河南 商城,,1997/7,,中國共產黨,1997/4,正副處級,,
1139444,張緒武,Zhang Xuwu,男,漢族,,否,,,,,,,,中國共產黨,,否,,
1140612,張維民,Zhang Weimin,男,漢族,大學本科,,,1944/10,,江蘇 宜興,工程師,,,中國共產黨,,否,,
1143625,張維民,Zhang Weimin,男,漢族,中學以下,,,1930/9,2003/3,山東 萊陽,,1949/9,,,1947/12,否,,
1138303,張維慶,Zhang Weiqing,男,漢族,大學本科,,,1944/3,,陝西 臨潼,研究員,1967/9,,中國共產黨,1972/6,正副處級,,
1145968,張維寧,Zhang Weining,男,漢族,研究生,,,1958/7,,北京市,,1975/05,,中國共產黨,1988/01,,,
1142671,張經武,Zhang Jingwu,男,漢族,中學以下,,,1906,1971/10,湖南 酃縣,中將,,,中國共產黨,1930/4,否,,
1138884,張素我,Zhang Suwo,女,漢族,大學本科,訪問學者,西歐,1915/4,2011/12,安徽 巢縣,,,,非中國共產黨,,否,,
1138935,張紀南,Zhang Jinan,男,漢族,研究生,,,1957/2,,廣東 揭西,經濟師,1974/10,,中國共產黨,1978/2,正副處級,,
1140793,張竹,Zhang Zhu,,,,否,,,,,,,,,,否,,
1144580,張端權,Zhang Duanquan,男,漢族,,,,1930/2,,廣東 開平縣,工程師,1952,,中國共產黨,1959/12,否,,出生地：廣東省肇慶市
1144581,張立貴,Zhang Ligui,男,漢族,,,,1942,,,,,,中國共產黨,,否,,
1139203,張立民,Zhang Limin,男,漢族,,,,1945/4,,陝西 戶縣,中將,,,中國共產黨,,否,,
1138683,張立昌,Zhang Lichang,男,漢族,大學專科,,,1939/7,2008/1,河北 南皮,,1958/5,,中國共產黨,1966/2,否,,
1142042,張立憲,Zhang Lixian,男,漢族,中學以下,,,1918/8,1986/4,陝西 咸陽,其他專業頭銜,1937,,中國共產黨,1937/2,否,,"大校軍銜"
1142287,張立國,Zhang Liguo,男,漢族,,,,,,,,,,中國共產黨,,否,,
1138529,張穹,Zhang Qiong,男,漢族,,,,,,,其他專業頭銜,,,中國共產黨,,否,,
1142540,張積慧,Zhang Jihui,男,漢族,大學本科,,,1927/2,,山東 榮成,其他專業頭銜,1945/4,,中國共產黨,1945/11,否,,空軍上校軍銜
1143705,張程鋒,Zhang Chengfeng,男,,,,,,,,,,,,,,,
