sender,receiver,elite id,year,month
Sichuan,Tibet,1143838,1980,12
Tibet,Sichuan,1143838,1986,5
Gansu,Inner Mongolia,1138742,1999,6
Shandong,Tibet,1138688,1993,11
Tibet,Qinghai,1138688,2003,9
Qinghai,Tibet,1138688,2004,12
Tibet,Hebei,1152324,2014,12
Shanxi,Hebei,1140178,2008,6
Qinghai,Shandong,1142377,1982,12
Xinjiang,Ningxia,1141052,1990,8
Yunnan,Tibet,1139620,1993,1
Tibet,Yunnan,1139620,1995,7
Shanghai,Jiangsu,1138918,1981,11
Hebei,Shaanxi,1139010,1998,7
Shaanxi,Heilongjiang,1139010,2003,12
Heilongjiang,Guizhou,1139010,2010,6
Anhui,Shanxi,1152703,2007,12
Beijing,Heilongjiang,1147686,2010,7
Heilongjiang,Liaoning,1147686,2014,8
Henan,Jilin,1139016,2000,10
Guangdong,Guizhou,1140146,2006,6
Anhui,Guangdong,1144607,1999,1
Jilin,Hainan,1138253,1992,3
Shanghai,Heilongjiang,1140222,2007,12
Heilongjiang,Hunan,1140222,2013,3
Jilin,Fujian,1142364,1994,6
Fujian,Jilin,1142364,1994,12
Liaoning,Guangdong,1138728,1995,12
Guangdong,Hubei,1138728,2007,11
Liaoning,Henan,1138155,1990,6
Henan,Guangdong,1138155,1998,3
Jilin,Shaanxi,1139748,2007,4
Shaanxi,Anhui,1139748,2013,4
Guizhou,Hainan,1141865,2014,12
Liaoning,Anhui,1138198,1986,4
Guangxi,Guangdong,1140147,1987,3
Guangdong,Guangxi,1140147,1987,9
Guangxi,Yunnan,1140147,2006,7
Liaoning,Tibet,1138634,1993,1
Beijing,Shanxi,1138520,1981,5
Sichuan,Shaanxi,1141132,1998,12
Shaanxi,Sichuan,1141132,2000,8
Shandong,Guangdong,1142108,2010,7
Liaoning,Zhejiang,1138510,1988,12
Heilongjiang,Henan,1139427,1999,5
Tianjin,Jilin,1143257,2006,11
Jilin,Shandong,1143257,2011,2
Chongqing,Gansu,1144048,2000,8
Heilongjiang,Sichuan,1139075,1998,12
Jiangsu,Yunnan,1139303,2001,7
Tibet,Hebei,1138806,1986,2
Ningxia,Henan,1138449,1992,9
Hubei,Hainan,1143456,2011,12
Tianjin,Shaanxi,1138201,1997,8
Shaanxi,Shandong,1138201,2007,3
Gansu,Shaanxi,1141135,2005,1
Shaanxi,Shanghai,1141135,2011,5
Shanghai,Liaoning,1141135,2014,4
Sichuan,Tianjin,1146032,2007,12
Shanxi,Hainan,1165728,2012,6
Sichuan,Chongqing,1138260,1997,6
Shaanxi,Ningxia,1142384,2008,6
Heilongjiang,Yunnan,1138349,1992,12
Guangdong,Jiangsu,1164879,2004,2
Henan,Liaoning,1138219,2004,12
Guangxi,Henan,1139961,2001,7
Shandong,Shanxi,1143568,2011,3
Jiangsu,Hubei,1143789,1998,12
Hubei,Jiangsu,1143789,2002,1
Guangdong,Hainan,1138931,1988,7
Hainan,Chongqing,1138931,2001,7
Beijing,Jiangsu,1138781,2008,2
Jiangsu,Beijing,1138781,2011,8
Sichuan,Tibet,1149149,2013,11
Jiangxi,Chongqing,1145106,2013,7
Guangxi,Guizhou,1139962,2001,8
Inner Mongolia,Anhui,1144747,2012,6
Hunan,Liaoning,1138220,1992,6
Liaoning,Guangxi,1138220,1997,7
Zhejiang,Jiangsu,1164792,2000,10
Jiangsu,Beijing,1164792,2005,3
Chongqing,Guangdong,1159694,2000,3
Guangdong,Chongqing,1159694,2001,7
Henan,Hainan,1138927,2004,1
Shanxi,Henan,1139832,1998,10
Hebei,Shandong,1139525,2006,4
Hebei,Tianjin,1138784,1982,11
Henan,Liaoning,1141603,1982,12
Jilin,Sichuan,1154091,2005,5
Zhejiang,Shanghai,1144902,2007,12
Jiangxi,Beijing,1153976,2012,7
Jiangsu,Shandong,1165946,2012,6
Heilongjiang,Shanghai,1144300,2014,8
Sichuan,Chongqing,1155026,1997,6
Sichuan,Hubei,1142402,1998,12
Hubei,Ningxia,1142402,2006,3
Ningxia,Chongqing,1142402,2012,3
Heilongjiang,Ningxia,1144717,2011,12
Jiangsu,Gansu,1141082,2001,9
Gansu,Hunan,1141082,2010,5
Sichuan,Chongqing,1143980,1997,11
Beijing,Qinghai,1139292,2007,3
Qinghai,Jiangxi,1139292,2013,3
Shandong,Jilin,1142712,1981,10
Guangdong,Shandong,1138824,2001,11
Shandong,Tianjin,1138824,2007,3
Jiangxi,Xinjiang,1138255,1995,2
Xinjiang,Hunan,1138255,1999,8
Gansu,Guangdong,1164821,1985,7
Guangdong,Guangxi,1164821,2000,2
Sichuan,Chongqing,1141782,1997,4
Shandong,Ningxia,1171923,2014,12
Qinghai,Tibet,1140009,2006,12
Tibet,Jiangxi,1140009,2010,12
Anhui,Henan,1145968,1985,1
Tianjin,Hainan,1138935,1991,8
Hainan,Henan,1138935,2004,1
Hebei,Heilongjiang,1138953,1999,6
Beijing,Xinjiang,1138301,1990,8
Guangdong,Hainan,1143958,1987,4
Heilongjiang,Hebei,1138760,2001,10
Liaoning,Hebei,1144671,2010,8
Hebei,Inner Mongolia,1139797,1986,3
Sichuan,Chongqing,1139105,1995,3
Hunan,Xinjiang,1138280,2010,4
Hunan,Fujian,1143152,2000,1
Henan,Chongqing,1138649,1997,6
Xinjiang,Liaoning,1138496,2001,5
Beijing,Heilongjiang,1142299,2005,3
Shandong,Gansu,1139093,1998,8
Gansu,Xinjiang,1139093,1999,10
Xinjiang,Tibet,1139093,2005,11
Tibet,Hebei,1139093,2011,8
Chongqing,Ningxia,1162471,2004,4
Gansu,Heilongjiang,1138573,1985,10
Sichuan,Chongqing,1138573,1997,6
Jilin,Zhejiang,1138171,1998,8
Zhejiang,Guangdong,1138171,2002,11
Shanxi,Hainan,1138812,1990,6
Tianjin,Heilongjiang,1157025,2011,11
Sichuan,Chongqing,1152570,1997,8
Gansu,Guizhou,1158214,2014,4
Shanxi,Guizhou,1141146,2005,1
Shanxi,Anhui,1138443,2010,5
Liaoning,Hubei,1138390,2001,1
Guangdong,Hainan,1143960,1988,5
Hebei,Inner Mongolia,1140176,2008,5
Ningxia,Qinghai,1143637,1991,3
Tibet,Guizhou,1141027,1981,6
Tianjin,Inner Mongolia,1139787,1988,10
Jiangxi,Jiangsu,1143261,2009,12
Shanxi,Beijing,1159076,2004,6
Inner Mongolia,Beijing,1138743,1991,4
Beijing,Inner Mongolia,1138743,1992,4
Liaoning,Guangxi,1144277,1995,6
Anhui,Guizhou,1143243,2006,11
Guizhou,Shanghai,1143243,2013,4
Beijing,Inner Mongolia,1144333,2001,7
Inner Mongolia,Liaoning,1144333,2008,12
Hebei,Liaoning,1138500,1990,6
Liaoning,Heilongjiang,1138500,1994,4
Tibet,Tianjin,1143268,2012,2
Tibet,Shanghai,1152495,2004,2
Shandong,Tianjin,1169448,2002,6
Henan,Guizhou,1144678,2010,9
Henan,Gansu,1138571,1998,4
Shandong,Heilongjiang,1138185,1999,12
Heilongjiang,Hebei,1139526,1999,6
Henan,Shaanxi,1155219,2007,12
Shanxi,Guangdong,1144684,2008,10
Anhui,Hunan,1139157,2013,4
Shanxi,Gansu,1138175,1992,5
Liaoning,Heilongjiang,1138565,1985,10
Shandong,Shanxi,1144299,2014,9
Chongqing,Hebei,1143646,2005,1
Yunnan,Guizhou,1139991,2001,7
Fujian,Tianjin,1138712,2012,11
Hunan,Shanxi,1138258,1993,9
Jilin,Chongqing,1138779,2012,11
Hubei,Jiangsu,1139281,1998,1
Hubei,Jiangsu,1139281,1998,12
Hubei,Anhui,1139025,2006,9
Zhejiang,Hunan,1145388,2011,10
Hunan,Hebei,1143460,1984,7
Hainan,Zhejiang,1142317,2011,5
Zhejiang,Hainan,1142317,2012,8
Jiangsu,Hebei,1138444,2002,12
Shanghai,Jiangxi,1138218,2001,3
Shanghai,Hainan,1140089,2006,11
Hainan,Shanghai,1140089,2014,1
Shandong,Tibet,1145281,2013,7
Gansu,Fujian,1143237,2011,2
Tianjin,Anhui,1142297,1993,3
Tibet,Sichuan,1141388,1980,10
Jiangsu,Shandong,1143503,2000,1
Heilongjiang,Henan,1148560,2012,8
Tianjin,Zhejiang,1138840,2003,11
Heilongjiang,Henan,1153315,2012,8
Hubei,Anhui,1138170,1994,11
Anhui,Jiangsu,1138170,1999,12
Anhui,Zhejiang,1138915,2001,6
Heilongjiang,Jilin,1139943,2001,7
Liaoning,Henan,1141336,1990,6
Henan,Guangdong,1141336,1998,6
Guangdong,Fujian,1141336,2005,5
Fujian,Guangdong,1141336,2012,1
Hunan,Fujian,1159863,2000,5
Fujian,Shaanxi,1159863,2001,5
Xinjiang,Shandong,1161153,1992,5
Shandong,Xinjiang,1161153,1992,12
Shandong,Zhejiang,1159461,1996,5
Sichuan,Chongqing,1159605,1997,6
Xinjiang,Shandong,1138252,1989,8
Fujian,Hunan,1139364,1993,1
Anhui,Beijing,1140881,1982,6
Beijing,Anhui,1140881,1983,4
Sichuan,Chongqing,1159666,1997,12
Anhui,Hubei,1139024,1985,10
Hubei,Anhui,1139024,1986,11
Anhui,Hubei,1139024,1991,4
Zhejiang,Xinjiang,1138914,1991,4
Xinjiang,Zhejiang,1138914,1995,5
Inner Mongolia,Heilongjiang,1139013,1999,7
Hunan,Jiangxi,1143446,1999,10
Sichuan,Shaanxi,1142383,1999,10
Jiangsu,Jiangxi,1138901,2001,6
Chongqing,Shanxi,1143212,2014,9
Sichuan,Chongqing,1139585,1997,6
Hubei,Jiangxi,1138154,1986,6
Jiangxi,Shandong,1138154,1997,4
Xinjiang,Tianjin,1161564,2002,5
Tianjin,Xinjiang,1161564,2003,3
Heilongjiang,Tianjin,1139135,1988,12
Jilin,Inner Mongolia,1143467,1982,2
Heilongjiang,Jiangxi,1143467,2008,1
Heilongjiang,Hebei,1138802,1995,6
Hubei,Guangdong,1139256,1990,12
Xinjiang,Shandong,1139090,1994,5
Shandong,Xinjiang,1139090,1995,4
Sichuan,Chongqing,1143964,1997,4
Beijing,Liaoning,1165193,2005,4
Fujian,Hainan,1144694,2014,12
Inner Mongolia,Qinghai,1141190,1985,1
Qinghai,Inner Mongolia,1141190,1986,7
Shanxi,Yunnan,1144272,2011,8
Hubei,Liaoning,1141212,1994,12
Hebei,Sichuan,1154805,2007,12
Beijing,Hebei,1143247,1996,3
Henan,Guizhou,1138515,1987,6
Hebei,Yunnan,1139516,1990,8
Qinghai,Zhejiang,1138817,1989,10
Fujian,Shanghai,1162732,2009,10
Henan,Anhui,1151206,2006,9
Anhui,Henan,1151206,2010,9
Shandong,Guangxi,1138519,1988,12
Guangxi,Inner Mongolia,1138519,1994,8
Jiangxi,Guizhou,1138512,1993,6
Ningxia,Guangdong,1144209,1989,6
Shandong,Xinjiang,1139055,1996,10
Sichuan,Chongqing,1138832,1997,6
Jiangxi,Hebei,1138759,1998,10
Sichuan,Chongqing,1143406,1997,6
Guangxi,Sichuan,1140148,2008,1
Hunan,Zhejiang,1143604,2011,10
Beijing,Xinjiang,1144091,2011,6
Guizhou,Chongqing,1141866,2006,11
Shandong,Shanxi,1165649,2012,6
Jiangxi,Qinghai,1139733,2001,7
Qinghai,Gansu,1139733,2007,1
Anhui,Shandong,1141004,2001,7
Sichuan,Chongqing,1149455,1995,4
Sichuan,Chongqing,1149455,1998,1
Fujian,Chongqing,1143581,1999,12
Hunan,Inner Mongolia,1138190,2001,8
Liaoning,Jiangxi,1138897,1998,10
Hubei,Shanghai,1138140,2007,10
Xinjiang,Gansu,1141800,2005,7
Gansu,Hubei,1141800,2010,7
Gansu,Shaanxi,1138275,1987,8
Shaanxi,Henan,1138275,1990,3
Sichuan,Chongqing,1141112,1995,1
Jiangxi,Anhui,1141106,2011,4
Gansu,Hainan,1173018,1993,5
Henan,Jilin,1138542,1987,6
Fujian,Tianjin,1140152,2009,5
Ningxia,Tibet,1149144,2013,11
Gansu,Qinghai,1144292,2008,11
Qinghai,Chongqing,1144292,2012,3
Sichuan,Chongqing,1140979,1997,7
Inner Mongolia,Beijing,1143517,1993,5
Shanxi,Zhejiang,1141144,2009,5
Shandong,Anhui,1144652,2001,6
Tianjin,Guangdong,1143564,2014,8
Yunnan,Henan,1139874,1993,3
Liaoning,Guangdong,1142493,1980,11
Henan,Hebei,1138943,1998,12
Jiangsu,Yunnan,1142106,2007,12
Shandong,Hainan,1139399,1991,8
Shaanxi,Henan,1141346,1982,12
Guangdong,Hunan,1139030,2003,5
Hunan,Shanxi,1139030,2005,7
Sichuan,Chongqing,1143983,1997,4
Tibet,Yunnan,1140011,2002,4
Shaanxi,Jiangsu,1143790,1993,3
Guizhou,Guangxi,1139948,1990,8
Liaoning,Hainan,1145565,1999,7
